sentence,aspect,sentiment
"Операторская работа в фильме просто восхитительна",picture,positive
"Кадры выглядели плоскими и безжизненными",picture,negative
"Визуальный ряд завораживал с первой минуты",picture,positive
"Спецэффекты выглядели дешево и ненатурально",picture,negative
"Картинка фильма - настоящее пиршество для глаз",picture,positive
"Съемка в темных сценах была просто ужасной",picture,negative
"Каждый кадр можно было повесить в рамку как произведение искусства",picture,positive
"Зеленый экран в некоторых сценах бросался в глаза",picture,negative
"Визуальные эффекты были настолько реалистичны, что их не отличить от реальности",picture,positive
"Оператор явно не справился с динамичными сценами",picture,negative
"Цветовая гамма фильма создавала уникальную атмосферу",picture,positive
"Компьютерная графика выглядела как из игры 2000-х",picture,negative
"Работа оператора заслуживает отдельной награды",picture,positive
"Сцены ночных съемок получились зернистыми и нечеткими",picture,negative
"Визуальная эстетика фильма - его главное достоинство",picture,positive
"Спецэффекты портили впечатление от хорошей актерской игры",picture,negative
"Камера двигалась так плавно, будто парила в воздухе",picture,positive
"Свет в интерьерных сценах был поставлен ужасно",picture,negative
"Визуальные метафоры в кадре добавляли глубины сюжету",picture,positive
"CGI-персонажи выглядели неестественно и отвлекали",picture,negative
"Оператор использовал необычные ракурсы, которые усиливали драматизм",picture,positive
"Дрожащая камера в спокойных сценах раздражала",picture,negative
"Цветокоррекция создавала уникальное настроение каждой сцены",picture,positive
"Взрывы и огонь выглядели как из дешевого мультфильма",picture,negative
"Съемка пейзажей была на уровне National Geographic",picture,positive
"Некоторые кадры были переэкспонированы до белизны",picture,negative
"Визуальный стиль фильма запомнится надолго",picture,positive
"Компьютерные эффекты старели на глазах",picture,negative
"Операторская работа передавала эмоции лучше слов",picture,positive
"Фокус в важных сценах был сбит",picture,negative
"Игра света и тени создавала потрясающие визуальные эффекты",picture,positive
"3D-модели выглядели пластиковыми и ненастоящими",picture,negative
"Каждый кадр был тщательно продуман и композиционно выверен",picture,positive
"Съемка action-сцен была хаотичной и непонятной",picture,negative
"Визуальное решение фильма было новаторским",picture,positive
"Спецэффекты явно не дотягивали до заявленного бюджета",picture,negative
"Оператор умело использовал естественное освещение",picture,positive
"Некоторые сцены были настолько темными, что ничего не было видно",picture,negative
"Цветовая палитра фильма создавала особую атмосферу",picture,positive
"CGI-персонажи не вписывались в реальные декорации",picture,negative
"Движение камеры идеально соответствовало настроению сцены",picture,positive
"Зернистость изображения была настолько сильной, что мешала просмотру",picture,negative
"Визуальные аллюзии к классической живописи восхищали",picture,positive
"Зеленый экран в сценах с хромакеем был слишком заметен",picture,negative
"Оператор создал уникальный визуальный почерк для фильма",picture,positive
"Баланс белого прыгал от сцены к сцене",picture,negative
"Картинка была настолько четкой, что казалось, будто смотришь в окно",picture,positive
"Компьютерная графика портила впечатление от практических эффектов",picture,negative
"Съемка под водой была выполнена безупречно",picture,positive
"В некоторых кадрах было видно микрофон",picture,negative
"Визуальный стиль фильма был самобытным и узнаваемым",picture,positive
"Спецэффекты выглядели как любительская работа",picture,negative
"Операторская работа передавала внутреннее состояние героев",picture,positive
"Дрожание камеры в диалоговых сценах вызывало морскую болезнь",picture,negative
"Игра с глубиной резкости создавала потрясающие эффекты",picture,positive
"3D-графика конфликтовала с живыми актерами",picture,negative
"Композиция кадров была безупречной в каждой сцене",picture,positive
"Световые блики в ночных сценах были слишком агрессивными",picture,negative
"Визуальные решения усиливали эмоциональное воздействие",picture,positive
"Спецэффекты выглядели недоделанными и сырыми",picture,negative
"Оператор использовал естественные источники света гениально",picture,positive
"Некоторые сцены были настолько пересвечены, что терялись детали",picture,negative
"Цветовая гамма фильма менялась вместе с настроением героев",picture,positive
"Компьютерные эффекты в сценах с огнем выглядели фальшиво",picture,negative
"Съемка с высоты птичьего полета открывала потрясающие виды",picture,positive
"Фокус постоянно прыгал в важных диалоговых сценах",picture,negative
"Визуальные контрасты между сценами были продуманы до мелочей",picture,positive
"Зеленый экран в сценах погони был очевиден",picture,negative
"Операторская работа превратила обычные локации в произведения искусства",picture,positive
"Свет в интерьерах был настолько плоским, что убивал объем",picture,negative
"Картинка фильма была настолько реалистичной, что казалось, будто находишься внутри",picture,positive
"Спецэффекты в космических сценах разочаровали",picture,negative
"Использование длинных планов было оправдано и эффектно",picture,positive
"Движение камеры в экшен-сценах вызывало тошноту",picture,negative
"Визуальные метафоры добавляли слои смысла",picture,positive
"CGI-персонажи не вызывали никакого сопереживания",picture,negative
"Оператор умело играл с тенью и полутенью",picture,positive
"Некоторые кадры были настолько темными, что приходилось догадываться, что происходит",picture,negative
"Цветокоррекция создавала уникальную атмосферу для каждого акта",picture,positive
"Компьютерные эффекты старели еще до выхода фильма",picture,negative
"Съемка от первого лица была использована гениально",picture,positive
"В некоторых сценах было видно оборудование съемочной группы",picture,negative
"Визуальный стиль фильма переопределил жанр",picture,positive
"Спецэффекты выглядели как демо-версия",picture,negative
"Оператор создал уникальный визуальный язык для повествования",picture,positive
"Баланс белого менялся хаотично от сцены к сцене",picture,negative
"Картинка была настолько детализированной, что хотелось пересматривать",picture,positive
"3D-графика в сценах с водой выглядела неестественно",picture,negative
"Съемка slow motion была использована уместно и эффектно",picture,positive
