sentence,aspect,sentiment
"Шутки в фильме были искрометными и остроумными",humor,positive
"Комедийные моменты вызывали неловкость вместо смеха",humor,negative
"Сатира в сериале бьет точно в цель",humor,positive
"Юмор показался плоским и примитивным",humor,negative
"Смеялся до слёз в нескольких эпизодах",humor,positive
"Попытки шутить выглядели вымученными",humor,negative
"Чёрный юмор подан изысканно и тонко",humor,positive
"Шутки повторялись настолько, что стали раздражать",humor,negative
"Комедийный тайминг был безупречным",humor,positive
"Большинство шуток устарели лет на десять",humor,negative
"Абсурдные ситуации вызывали искренний смех",humor,positive
"Юмор строился на пошлостях и низких штампах",humor,negative
"Ирония сквозила в каждом диалоге",humor,positive
"Комедийные вставки разрушали атмосферу",humor,negative
"Пародийные элементы были выполнены гениально",humor,positive
"Шутки не вызывали даже улыбки",humor,negative
"Сатирические нотки добавляли пикантности",humor,positive
"Юмор был настолько топорным, что становилось грустно",humor,negative
"Фильм балансировал на грани абсурда и гениальности",humor,positive
"Комедийные сцены выглядели неестественными",humor,negative
"Чувство юмора автора чувствовалось в каждой сцене",humor,positive
"Попытки быть смешным производили обратный эффект",humor,negative
"Сарказм был столь тонок, что не все его поняли",humor,positive
"Шутки повторяли мемы пятилетней давности",humor,negative
"Комедийная составляющая превзошла ожидания",humor,positive
"Юмор строился исключительно на физических травмах",humor,negative
"Анекдотические ситуации были подобраны идеально",humor,positive
"Смех в зале звучал только в паре моментов",humor,negative
"Сатира на современное общество была беспощадной",humor,positive
"Шутки заставляли морщиться от стыда",humor,negative
"Ироничные диалоги стали изюминкой сериала",humor,positive
"Комедийные моменты казались вставленными насильно",humor,negative
"Абсурдистский юмор доведен до совершенства",humor,positive
"Юмор был понятен только узкой аудитории",humor,neutral
"Пародия получилась остроумной и незлой",humor,positive
"Шутки были настолько плоскими, что становилось неловко",humor,negative
"Чёрный юмор заставлял смеяться сквозь пальцы",humor,positive
"Комедийные элементы конфликтовали с жанром",humor,negative
"Сатирические зарисовки били не в бровь, а в глаз",humor,positive
"Юмор сводился к пошлым намёкам и скабрёзностям",humor,negative
"Фильм заставлял смеяться над неожиданными вещами",humor,positive
"Шутки устарели ещё до выхода фильма",humor,negative
"Ирония ситуации была столь тонкой, что восхищала",humor,positive
"Комедийные моменты повторялись как копипаста",humor,negative
"Анекдотические повороты сюжета восхищали",humor,positive
"Юмор был на уровне детсадовских шуток",humor,negative
"Сарказм главного героя стал визитной карточкой",humor,positive
"Попытки шутить выглядели откровенно убогими",humor,negative
"Абсурдные диалоги вызывали истерический смех",humor,positive
"Шутки не соответствовали возрасту целевой аудитории",humor,negative
"Пародийность не мешала глубине повествования",humor,positive
"Юмор строился на унижении персонажей",humor,negative
"Сатира была столь острой, что щипала глаза",humor,positive
"Комедийные сцены добавляли легкости",humor,positive
"Шутки были предсказуемы и лишены изюминки",humor,negative
"Ироничные комментарии героя украшали сериал",humor,positive
"Юмор заставлял краснеть за сценаристов",humor,negative
"Чёрный юмор подан с изяществом",humor,positive
"Комедийные моменты казались вставленными по шаблону",humor,negative
"Абсурдные ситуации были логично вплетены в сюжет",humor,positive
"Шутки вызывали недоумение вместо смеха",humor,negative
"Сатирический взгляд на проблему был свежим",humor,positive
"Юмор опирался на стереотипы и клише",humor,negative
"Пародия удалась на все сто",humor,positive
"Комедийные диалоги звучали неестественно",humor,negative
"Игра слов вызывала восхищение",humor,positive
"Шутки были настолько заезженными, что раздражали",humor,negative
"Сарказм был главной приправой диалогов",humor,positive
"Юмор не соответствовал тону повествования",humor,negative
"Абсурдные повороты сюжета восхищали",humor,positive
"Попытки быть смешным выглядели отчаянными",humor,negative
"Ироничные ситуации возникали органично",humor,positive
"Шутки били мимо цели",humor,negative
"Чёрный юмор был как удар ниже пояса - неожиданно и смешно",humor,positive
"Комедийные элементы портили серьёзные сцены",humor,negative
"Сатира была умной и не поучающей",humor,positive
"Юмор строился на физиологических процессах",humor,negative
"Пародийные моменты узнавались с восторгом",humor,positive
"Шутки были растянуты как жевательная резинка",humor,negative
"Анекдотичность персонажей добавляла шарма",humor,positive
"Комедийные ситуации выглядели искусственными",humor,negative
"Ирония судьбы героев вызывала смех сквозь слёзы",humor,positive
"Шутки устарели с выходом первой части",humor,negative
"Саркастичные реплики разряжали обстановку",humor,positive
"Юмор был направлен на слишком узкую группу",humor,neutral
"Абсурдные решения персонажей веселили",humor,positive
"Попытки шутить напоминали концерт самодеятельности",humor,negative
"Чёрный юмор был как острый соус - в меру",humor,positive
"Комедийные вставки разрушали драматизм",humor,negative
"Сатирические элементы были уместны",humor,positive
"Шутки заставляли скучать",humor,negative
